#Gene_ID	Gene_symbol
gene0	Vom2r4
gene14247	LOC102551922
gene14248	Tmx1
gene14249	LOC102552060
gene14250	Frmd6
gene14251	Actr10
gene14252	LOC102552313
gene14253	Trnak-cuu
gene14254	Psma3
gene14255	LOC102552179
gene14256	Arid4a
gene14257	LOC102552632
gene14258	Tomm20l
gene14259	Timm9
gene14260	Dact1
gene14261	RGD1559545
gene14262	LOC103692651
gene14263	LOC103692652
gene14264	LOC102553691
gene14265	LOC102553798
gene14266	LOC102553860
gene14267	LOC103692653
gene14268	Daam1
gene14269	Gpr135
gene14270	L3hypdh
gene14271	Jkamp
gene14272	Ccdc175
gene14273	Rtn1
gene14274	LOC103695312
gene14275	Lrrc9
gene14276	LOC102549502
gene14277	Pcnxl4
gene14278	LOC100364391
gene14279	LOC102557044
gene14280	LOC102557061
gene14281	Dhrs7
gene14282	RGD1565002
gene14283	LOC366666
gene14284	LOC100361944
gene14285	LOC102549812
gene14286	Ppm1a
gene14287	Six6os1
gene14288	Six6
gene14289	LOC690335
gene14290	Six1
gene14291	LOC690390
gene14292	Six4
gene14293	Mnat1
gene14294	LOC102550141
gene14295	Trmt5
gene14296	Slc38a6
gene14297	LOC688981
gene14298	LOC102557043
gene14299	LOC102550345
gene14300	Tmem30b
gene14301	Prkch
gene14302	LOC103695300
gene14303	Hif1a
gene14304	LOC102550558
gene14305	Snapc1
gene14306	LOC102550623
gene14307	Syt16
gene14308	LOC102550910
gene14309	LOC102551114
gene14310	Kcnh5
gene14311	Rhoj
gene14312	Gphb5
gene14313	Ppp2r5e
gene14314	LOC103695302
gene14315	LOC103695301
gene14316	Wdr89
gene14317	LOC102555381
gene14318	Sgpp1
gene14319	Syne2
gene14320	Esr2
gene14321	Tex21
gene14322	LOC102555803
gene14323	Mthfd1
gene14324	LOC102555894
gene14325	Akap5
gene14326	Zbtb25
gene14327	Zbtb1
gene14328	LOC103692661
gene14329	Hspa2
gene14330	Ppp1r36
gene14331	LOC102556012
gene14332	RGD1562381
gene14333	Plekhg3
gene14334	Sptb
gene14335	LOC102546457
gene14336	Churc1
gene14337	Gpx2
gene14338	Rab15
gene14339	LOC103692663
gene14340	LOC102546646
gene14341	Fntb
gene14342	LOC102546566
gene14343	Max
gene14344	LOC102546833
gene14345	LOC102557550
gene14346	LOC103692664
gene14347	Fut8
gene14348	LOC102549283
gene14349	RGD1562540
gene14350	LOC103692666
gene14351	Gphn
gene14352	LOC314258
gene14353	LOC103692668
gene14354	LOC102547341
gene14355	LOC103692667
gene14356	LOC100909680
gene14357	Fam71d
gene14358	LOC102547630
gene14359	Mpp5
gene14360	Atp6v1d
gene14361	Eif2s1
gene14362	Plek2
gene14363	LOC102547797
gene14364	Tmem229b
gene14365	LOC103695303
gene14366	Plekhh1
gene14367	LOC102547892
gene14368	Pigh
gene14369	LOC688014
gene14370	Arg2
gene14371	LOC102548255
gene14372	Vti1b
gene14373	Rdh11
gene14374	LOC680245
gene14375	Rdh12
gene14376	Zfyve26
gene14377	Rad51b
gene14378	LOC103692670
gene14379	LOC103692669
gene14380	LOC102546422
gene14381	LOC103695304
gene14382	LOC102546647
gene14383	LOC688022
gene14384	LOC102546873
gene14385	LOC100359616
gene14386	LOC102547094
gene14387	LOC103692671
gene14388	LOC102547173
gene14389	Zfp36l1
gene14390	Actn1
gene14391	LOC100359669
gene14392	Dcaf5
gene14393	Mir1843
gene14394	LOC102553171
gene14395	RGD1559921
gene14396	LOC103695305
gene14397	RGD1562299
gene14398	RGD1561024
gene14399	RGD1565752
gene14400	Mphosph6-ps1
gene14401	LOC366683
gene14402	LOC678786
gene14403	RGD1560227
gene14404	Exd2
gene14405	Galnt16
gene14406	Erh
gene14407	Slc39a9
gene14408	Plekhd1
gene14409	LOC102549612
gene14410	Ccdc177
gene14411	LOC678893
gene14412	Srsf5
gene14413	Slc10a1
gene14414	LOC103692673
gene14415	RGD1560824
gene14416	Smoc1
gene14417	Slc8a3
gene14418	Adam4l1
gene14419	Adam4
gene14420	Cox16
gene14421	Synj2bp
gene14422	LOC103690066
gene14423	LOC685187
gene14424	Med6
gene14425	Ttc9
gene14426	LOC102552530
gene14427	Map3k9
gene14428	LOC102552601
gene14429	Pcnx
gene14430	Sipa1l1
gene14431	LOC102552965
gene14432	LOC102553034
gene14433	Rgs6
gene14434	LOC100912402
gene14435	LOC103692676
gene14436	LOC103692675
gene14437	LOC102553761
gene14438	Dpf3
gene14439	Dcaf4
gene14440	Zfyve1
gene14441	LOC102547293
gene14442	Rbm25
gene14443	Psen1
gene14444	Papln
gene14445	Numb
gene14446	RGD1566220
gene14447	RGD1307704
gene14448	Acot2
gene14449	Acot1
gene14450	LOC299190
gene14451	Acot4
gene14452	Acot3
gene14453	Acot5
gene14454	LOC299192
gene14455	Acot6
gene14456	Dnal1
gene14457	Pnma1
gene14458	Elmsan1
gene14459	Ptgr2
gene14460	Zfp410
gene14461	Fam161b
gene14462	Coq6
gene14463	LOC103692677
gene14464	Entpd5
gene14465	Ccdc176
gene14466	Rnf113a2
gene14467	Aldh6a1
gene14468	Lin52
gene14469	Vsx2
gene14470	Abcd4
gene14471	Vrtn
gene14472	Syndig1l
gene14473	Npc2
gene14474	Isca2
gene14475	Ltbp2
gene14476	Arel1
gene14477	Fcf1
gene14478	Ylpm1
gene14479	LOC100360798
gene14480	LOC103692678
gene14481	Prox2
gene14482	Dlst
gene14483	Rps6kl1
gene14484	Pgf
gene14485	LOC102548524
gene14486	Eif2b2
gene14487	Mlh3
gene14488	Acyp1
gene14489	Zc2hc1c
gene14490	Nek9
gene14491	LOC102549675
gene14492	Tmed10
gene14493	Fos
gene14494	LOC102548751
gene14495	Jdp2
gene14496	Batf
gene14497	Flvcr2
gene14498	RGD1310769
gene14499	Ttll5
gene14500	Tgfb3
gene14501	Ift43
gene14502	Gpatch2l
gene14503	Esrrb
gene14504	LOC100362500
gene14505	Vash1
gene14506	Angel1
gene14507	Lrrc74
gene14508	Irf2bpl
gene14509	LOC102555554
gene14510	Cipc
gene14511	Zdhhc22
gene14512	Tmem63c
gene14513	Ngb
gene14514	Pomt2
gene14515	Gstz1
gene14516	LOC681943
gene14517	Samd15
gene14518	Noxred1
gene14519	Vipas39
gene14520	Ahsa1
gene14521	Ism2
gene14522	Sptlc2
gene14523	Alkbh1
gene14524	Mir3068
gene14525	Slirp
gene14526	Snw1
gene14527	Gle1-ps1
gene14528	RGD1563496
gene14529	RGD1561148
gene14530	LOC100910634
gene14531	RGD1562960
gene14532	RGD1559513
gene14533	LOC688894
gene14534	RGD1565693
gene14535	LOC100912568
gene14536	LOC503053
gene14537	LOC102556950
gene14538	LOC102556791
gene14539	Adck1
gene14540	LOC100362924
gene14541	LOC103692681
gene14542	Nrxn3
gene14543	LOC103692682
gene14544	LOC100910948
gene14545	LOC100363030
gene14546	Dio2
gene14547	LOC103692683
gene14548	LOC102549780
gene14549	LOC500700
gene14550	Tshr
gene14551	Gtf2a1
gene14552	Ston2
gene14553	LOC102551017
gene14554	LOC102550912
gene14555	Sel1l
gene14556	LOC102551314
gene14557	LOC366703
gene14558	LOC100363383
gene14559	LOC500702
gene14560	LOC100363488
gene14561	LOC100912304
gene14562	LOC500703
gene14563	LOC689371
gene14564	LOC102556510
gene14565	LOC102546459
gene14566	LOC366705
gene14567	LOC103692684
gene14568	LOC366706
gene14569	LOC100359725
gene14570	LOC689476
gene14571	LOC366709
gene14572	LOC103692685
gene14573	LOC102549466
gene14574	LOC102549614
gene14575	LOC103692686
gene14576	LOC102549677
gene14577	Flrt2
gene14578	LOC100359885
gene14579	LOC102549969
gene14580	LOC102550062
gene14581	RGD1566048
gene14582	LOC100909953
gene14583	Galc
gene14584	Gpr65
gene14585	Kcnk10
gene14586	Spata7
gene14587	LOC102550278
gene14588	Ptpn21
gene14589	Zc3h14
gene14590	Eml5
gene14591	Ttc8
gene14592	LOC103692687
gene14593	LOC102550434
gene14594	Cpg1
gene14595	Foxn3
gene14596	LOC103692689
gene14597	LOC102550790
gene14598	LOC103692688
gene14599	LOC102550560
gene14600	Efcab11
gene14601	Tdp1
gene14602	Kcnk13
gene14603	Kcnk13
gene14604	LOC102557490
gene14605	LOC100359979
gene14606	Psmc1
gene14607	Nrde2
gene14608	LOC103695314
gene14609	LOC103695315
gene14610	Calm1
gene14611	Ttc7b
gene14612	Rps6ka5
gene14613	LOC688724
gene14614	RGD1311756
gene14615	Gpr68
gene14616	Ccdc88c
gene14617	Smek1
gene14618	LOC690022
gene14619	LOC299254
gene14620	Kif4b
gene14621	LOC100910102
gene14622	LOC102547705
gene14623	LOC103695316
gene14624	LOC102552180
gene14625	Tc2n
gene14626	Fbln5
gene14627	Trip11
gene14628	Atxn3
gene14629	LOC102547799
gene14630	Ndufb1
gene14631	LOC103692691
gene14632	Cpsf2
gene14633	Slc24a4
gene14634	Rin3
gene14635	LOC103692693
gene14636	Lgmn
gene14637	LOC102548124
gene14638	Golga5
gene14639	LOC103692694
gene14640	Chga
gene14641	Itpk1
gene14642	LOC102548189
gene14643	LOC103695317
gene14644	LOC103692695
gene14645	LOC102548370
gene14646	LOC100233176
gene14647	Moap1
gene14648	Tmem251
gene14649	Ubr7
gene14650	Btbd7
gene14651	LOC100912037
gene14652	Cox8c
gene14653	Unc79
gene14654	Prima1
gene14655	RGD1309028
gene14656	Asb2
gene14657	LOC102549032
gene14658	Otub2
gene14659	Ddx24
gene14660	Ifi27
gene14661	Ifi27l2b
gene14662	LOC102549139
gene14663	Ppp4r4
gene14664	Serpina10
gene14665	Serpina6
gene14666	LOC299271
gene14667	Serpina1f
gene14668	LOC690319
gene14669	Serpina1
gene14670	LOC103692696
gene14671	Serpina11
gene14672	Serpina9
gene14673	Serpina12
gene14674	Serpina4
gene14675	Serpina5
gene14676	Serpina3m
gene14677	LOC103695318
gene14678	LOC299277
gene14679	LOC314407
gene14680	LOC100909567
gene14681	LOC100909605
gene14682	LOC500712
gene14683	Serpina3c
gene14684	LOC299282
gene14685	Serpina3n
gene14686	LOC690435
gene14687	Gsc
gene14688	LOC103692697
gene14689	Dicer1
gene14690	LOC103692712
gene14691	Clmn
gene14692	LOC102555497
gene14693	Syne3
gene14694	Rpl6-ps1
gene14695	LOC100912305
gene14696	Glrx5
gene14697	LOC100912332
gene14698	Tcl1a
gene14699	LOC100909917
gene14700	LOC103695319
gene14701	Bdkrb2
gene14702	LOC103692699
gene14703	Bdkrb1
gene14704	Atg2b
gene14705	Gskip
gene14706	Ak7
gene14707	Papola
gene14708	LOC102551116
gene14709	Vrk1
gene14710	LOC103695323
gene14711	LOC102551214
gene14712	LOC102556863
gene14713	LOC102554026
gene14714	LOC103692700
gene14715	LOC103692701
gene14716	LOC102554414
gene14717	Bcl11b
gene14718	LOC103692704
gene14719	LOC103692703
gene14720	LOC103692702
gene14721	Setd3
gene14722	Ccnk
gene14723	Ccdc85c
gene14724	LOC102554801
gene14725	Cyp46a1
gene14726	Eml1
gene14727	Evl
gene14728	LOC102555052
gene14729	Mir342
gene14730	Degs2
gene14731	LOC691016
gene14732	LOC103692705
gene14733	Yy1
gene14734	Slc25a29
gene14735	Mir345
gene14736	Slc25a47
gene14737	Wars
gene14738	Wdr25l
gene14739	Begain
gene14740	LOC103692713
gene14741	LOC102546378
gene14742	Dlk1
gene14743	LOC102557203
gene14744	RGD1566401
gene14745	Mir770
gene14746	Mir673
gene14747	Mir493
gene14748	Mir337
gene14749	Mir3544
gene14750	Mir540
gene14751	Mir665
gene14752	Mir431
gene14753	Mir433
gene14754	Mir127
gene14755	Mir3543
gene14756	Mir434
gene14757	Mir136
gene14758	Mir1188
gene14759	Mir370
gene14760	LOC103695320
gene14761	Mir379
gene14762	Mir411
gene14763	Mir3563
gene14764	Mir299
gene14765	Mir3579
gene14766	Mir380
gene14767	Mir323
gene14768	Mir758
gene14769	Mir329
gene14770	Mir494
gene14771	Mir1193
gene14772	Mir666
gene14773	Mir543
gene14774	Mir495
gene14775	Mir667
gene14776	Mir376c
gene14777	Mir376b
gene14778	Mir3595
gene14779	Mir376a
gene14780	Mir300
gene14781	Mir381
gene14782	Mir487b
gene14783	Mir3576
gene14784	Mir539
gene14785	Mir6331
gene14786	Mir544
gene14787	Mir3592
gene14788	Mir382
gene14789	Mir134
gene14790	Mir668
gene14791	Mir485
gene14792	Mir154
gene14793	Mir496
gene14794	Mir377
gene14795	Mir541
gene14796	Mir3581
gene14797	Mir409
gene14798	Mir412
gene14799	Mir3578
gene14800	Mir369
gene14801	Mir410
gene14802	Mir3072
gene14803	LOC366728
gene14804	LOC103695324
gene14805	LOC102546650
gene14806	Dio3
gene14807	LOC102546875
gene14808	LOC102546759
gene14809	LOC100362959
gene14810	LOC102546957
gene14811	LOC102547242
gene14812	LOC102547175
gene14813	LOC100910810
gene14814	Ppp2r5c
gene14815	LOC103692715
gene14816	Dync1h1
gene14817	RGD1305298
gene14818	Hsp90aa1
gene14819	LOC102549239
gene14820	Wdr20
gene14821	Mok
gene14822	Trnai-aau
gene14823	Zfp839
gene14824	LOC103692717
gene14825	Cinp
gene14826	Tecpr2
gene14827	Ankrd9
gene14828	RGD1305743
gene14829	LOC102547964
gene14830	Traf3
gene14831	Amn
gene14832	Cdc42bpb
gene14833	RGD1560608
gene14834	Exoc3l4
gene14835	Tnfaip2
gene14836	LOC102554678
gene14837	Eif5
gene14838	Mark3
gene14839	Ckb
gene14840	Trmt61a
gene14841	Bag5
gene14842	Apopt1
gene14843	Klc1
gene14844	LOC102551085
gene14845	Zfyve21
gene14846	Ppp1r13b
gene14847	LOC100363116
gene14848	LOC102548399
gene14849	LOC100912557
gene14850	Tdrd9
gene14851	LOC691437
gene14852	RGD1305627
gene14853	LOC102548527
gene14854	Aspg
gene14855	Mir3545
gene14856	Mir203
gene14857	Kif26a
gene14858	LOC102549170
gene14859	LOC103695325
gene14860	LOC691485
gene14861	Tmem179
gene14862	LOC102552388
gene14863	Inf2
gene14864	Inf2
gene14865	Adssl1
gene14866	Siva1
gene14867	Akt1
gene14868	Zbtb42
gene14869	Cep170b
gene14870	LOC102552635
gene14871	Pld4
gene14872	Ahnak2
gene14873	RGD1307315
gene14874	Cdca4
gene14875	Gpr132
gene14876	LOC103692726
gene14877	Jag2
gene14878	Nudt14
gene14879	Brf1
gene14880	Btbd6
gene14881	Pacs2
gene14882	Tex22
gene14883	Mta1
gene14884	Crip2
gene14885	Crip1
gene14886	LOC690422
gene14887	Tmem121
gene14888	LOC103692721
gene14889	Igha
gene14890	Ighe
gene14891	LOC102546876
gene14892	LOC103690146
gene14893	LOC103692723
gene14894	LOC362795
gene14895	LOC103695322
gene14896	LOC314492
gene14897	LOC102555896
gene14898	LOC103692722
gene14899	LOC102557049
gene14900	Adam6
gene14901	LOC102547097
gene14902	LOC103695321
gene14903	LOC362795
gene14904	LOC100360973
gene14905	LOC102549646
gene14906	LOC102557313
gene14907	LOC100361209
gene14908	LOC100360329
gene14909	LOC100359530
gene14910	LOC103695326
gene14911	LOC678844
gene14912	LOC100912547
gene14913	RGD1564284
gene14914	LOC102551538
gene14915	LOC503066
gene14916	LOC102552487
gene14917	LOC100360169
gene14918	LOC102556884
gene14919	LOC100362092
gene14920	LOC102554170
gene14921	LOC102556406
gene14922	LOC100911906
gene14923	LOC102553006
gene14924	LOC679045
gene14925	LOC500737
gene14926	LOC103690043
gene14927	LOC366750
gene14928	LOC100360519
gene14929	LOC103690384
gene14930	LOC102557150
gene14931	LOC679165
gene14932	LOC100363457
gene14933	LOC100363510
gene14934	LOC100364031
gene14935	RGD1563592
gene14936	LOC103695328
gene14937	LOC103695327
gene14938	LOC103695329
gene14939	LOC102553297
gene14940	LOC100359684
gene14941	LOC366752
gene14942	LOC100359793
gene14943	LOC691801
gene14944	LOC100359993
gene14945	LOC102555436
gene14946	LOC691815
gene14947	LOC103695330
gene14948	LOC299411
gene14949	LOC102555711
gene14950	LOC103692730
gene14951	LOC103692731
gene14952	LOC691828
gene14953	RGD1560842
gene14954	LOC100360610
gene14955	LOC100360661
gene14956	LOC100360761
gene14957	LOC314509
gene14958	LOC691837
gene14959	LOC691871
gene14960	LOC691840
gene14961	LOC100361105
gene14962	LOC102547028
gene14963	LOC691878
gene14964	LOC100361324
gene14965	LOC500745
gene14966	LOC102547475
gene14967	LOC100361461
gene14968	LOC691851
gene14969	LOC102547866
gene14970	RGD1565530
gene14971	LOC102556469
gene14972	LOC100365401
gene14973	RGD1565133
gene14974	LOC100363695
gene14975	LOC299440
gene14976	LOC100363765
gene14977	LOC691875
gene14978	LOC100365470
gene14979	LOC691884
gene14980	LOC691888
gene14981	LOC691890
gene14982	LOC103695331
gene14983	LOC691892
gene14984	LOC691893
gene14985	LOC691897
gene14986	LOC366763
gene14987	LOC100363765
gene14988	LOC691902
gene14989	LOC100363856
gene14990	LOC102551959
gene14991	LOC691912
gene14992	LOC691913
gene14993	LOC103692737
gene14994	LOC691919
gene14995	RGD1560697
gene14996	LOC103692738
gene14997	LOC102552346
gene14998	LOC691925
gene14999	LOC691927
gene15000	LOC299452
gene15001	LOC102552859
gene15002	Olr874-ps
gene15003	LOC102553076
gene15004	LOC503090
gene15005	LOC102553175
gene15006	RGD1561247
gene15007	LOC299458
gene15008	LOC102547474
gene15009	LOC100359978
gene15010	LOC503095
gene15011	LOC691939
gene15012	Lod299464
gene15013	LOC103695332
gene15014	LOC102556927
gene15015	LOC299469
gene15016	RGD1563587
gene15017	LOC691950
gene15018	LOC100361293
gene15019	LOC682169
gene15020	LOC691955
gene15021	LOC102546716
gene15022	LOC366769
gene15023	LOC691946
gene15024	RGD1561166
gene15025	LOC100365422
gene15026	LOC503099
gene15027	LOC100361410
gene15028	LOC103692740
gene15029	LOC503101
gene15030	LOC103695333
gene15031	LOC682313
gene15032	LOC103692734
gene15033	Zfp386
gene15034	Vipr2
gene15035	Wdr60
gene15036	LOC102547216
gene15037	Esyt2
gene15038	LOC691128
gene15039	Ncapg2
gene15040	LOC102548847
gene15041	Ptprn2
gene15042	LOC102550348
gene15043	Mir153
gene15044	LOC366774
gene15045	LOC102556588
gene15046	Rapgef5
gene15047	LOC103692736
gene15048	LOC103692742
gene15049	Cdca7l
gene15050	Rpl32-ps3
gene15051	Dnah11
gene15052	Sp4
gene15053	LOC102550684
gene15054	LOC691971
gene15055	RGD1562420
gene15056	LOC691973
gene15057	Sp8
gene15058	Abcb5
gene15059	LOC102550983
gene15060	Itgb8
gene15061	Macc1
gene15062	LOC691977
gene15063	LOC691978
gene15064	Tmem196
gene15065	LOC103695334
gene15066	LOC100361319
gene15067	LOC103695335
gene15068	Hsd17b6
gene15069	Prim1
gene15070	Naca
gene15071	Ptges3
gene15072	Atp5b
gene15073	Baz2a
gene15074	Rbms2
gene15075	Gls2
gene15076	Spryd4
gene15077	LOC103692756
gene15078	Mip
gene15079	Timeless
gene15080	Apon
gene15081	LOC102551925
gene15082	Apof
gene15083	Stat2
gene15084	Il23a
gene15085	Pan2
gene15086	Cnpy2
gene15087	Cs
gene15088	Coq10a
gene15089	Ankrd52
gene15090	Slc39a5
gene15091	Nabp2
gene15092	Rnf41
gene15093	Trnas-cga
gene15094	LOC685179
gene15095	Myl6
gene15096	LOC100912695
gene15097	Esyt1
gene15098	LOC102552826
gene15099	Rps15-ps2
gene15100	Zc3h10
gene15101	Rpl41
gene15102	Pa2g4
gene15103	Erbb3
gene15104	LOC366789
gene15105	Rps26
gene15106	Ikzf4
gene15107	LOC103692757
gene15108	Suox
gene15109	Rab5b
gene15110	LOC102553038
gene15111	Cdk2
gene15112	Pmel
gene15113	Dgka
gene15114	Robld3-ps1
gene15115	Wibg
gene15116	Mmp19
gene15117	Tmem198b
gene15118	Dnajc14
gene15119	Ormdl2
gene15120	Sarnp
gene15121	Gdf11
gene15122	LOC102553109
gene15123	Cd63
gene15124	Rdh5
gene15125	Bloc1s1
gene15126	Itga7
gene15127	Mettl7b
gene15128	Olr875
gene15129	Olr877
gene15130	Olr878
gene15131	Olr879
gene15132	Olr880
gene15133	Olr881
gene15134	Olr882-ps
gene15135	LOC102554301
gene15136	Olr916
gene15137	Olr921
gene15138	Olr920
gene15139	Olr904-ps
gene15140	Olr883
gene15141	Olr1000
gene15142	Olr914-ps
gene15143	Olr913-ps
gene15144	Olr912-ps
gene15145	Olr884-ps
gene15146	LOC689773
gene15147	LOC689758
gene15148	Olr994-ps
gene15149	Olr992-ps
gene15150	Olr991
gene15151	LOC102556598
gene15152	Olr990
gene15153	Olr918-ps
gene15154	Olr987
gene15155	Olr986-ps
gene15156	Olr985-ps
gene15157	Olr984
gene15158	Olr983-ps
gene15159	Olr982
gene15160	Olr981-ps
gene15161	Olr980-ps
gene15162	LOC689590
gene15163	LOC102550351
gene15164	Olr978-ps
gene15165	LOC103695337
gene15166	Olr977-ps
gene15167	Olr976-ps
gene15168	Olr975-ps
gene15169	Olr974-ps
gene15170	Olr973-ps
gene15171	LOC102556641
gene15172	Olr970-ps
gene15173	Olr993-ps
gene15174	LOC692116
gene15175	RGD1559940
gene15176	Olr968-ps
gene15177	Olr966-ps
gene15178	Olr965-ps
gene15179	Olr997-ps
gene15180	LOC103689955
gene15181	Olr962
gene15182	Olr961-ps
gene15183	Olr960
gene15184	Olr1001-ps
gene15185	LOC689855
gene15186	LOC100911124
gene15187	Olr956
gene15188	Olr1003-ps
gene15189	Olr1005-ps
gene15190	Olr1006
gene15191	Olr1007
gene15192	LOC503116
gene15193	Olr1008-ps
gene15194	Olr1009-ps
gene15195	Olr1010-ps
gene15196	Olr1011-ps
gene15197	Olr1012
gene15198	Olr1013-ps
gene15199	Olr1014
gene15200	Olr1015-ps
gene15201	Olr1016
gene15202	Olr1017-ps
gene15203	Olr1018-ps
gene15204	Olr1019-ps
gene15205	Olr1020
gene15206	Olr1021-ps
gene15207	Olr1022
gene15208	Olr1023-ps
gene15209	Olr1024
gene15210	Olr1025-ps
gene15211	Olr1026-ps
gene15212	Olr1027-ps
gene15213	Olr1028-ps
gene15214	LOC100909402
gene15215	Olr1029
gene15216	Olr1030-ps
gene15217	Olr1031-ps
gene15218	Olr1032-ps
gene15219	Olr1033-ps
gene15220	Olr1034-ps
gene15221	Olr1035-ps
gene15222	Olr1036-ps
gene15223	Olr1037-ps
gene15224	Olr1038-ps
gene15225	Olr1039-ps
gene15226	Olr1041-ps
gene15227	Olr1042-ps
gene15228	Olr1043-ps
gene15229	Olr1045-ps
gene15230	Olr1046-ps
gene15231	Olr1047-ps
gene15232	Olr1048-ps
gene15233	Olr1049
gene15234	Olr1050-ps
gene15235	Olr1052
gene15236	LOC690150
gene15237	Olr1053-ps
gene15238	Olr934-ps
gene15239	LOC100913038
gene15240	Olr1055
gene15241	Olr1056-ps
gene15242	Olr1057
gene15243	Olr1058
gene15244	LOC103690258
gene15245	Olr1060
gene15246	Olr1061
gene15247	Olr1062-ps
gene15248	LOC102556703
gene15249	Olr1063
gene15250	Olr1064
gene15251	Olr1065
gene15252	Olr1066-ps
gene15253	Olr1067
gene15254	LOC102546959
gene15255	Olr1068
gene15256	LOC100360217
gene15257	Olr1069
gene15258	Olr1070
gene15259	LOC100910391
gene15260	LOC690320
gene15261	Olr1071
gene15262	Olr1072
gene15263	Neurod4
gene15264	LOC102549817
gene15265	LOC100910577
gene15266	LOC100912814
gene15267	LOC366820
gene15268	LOC100362818
gene15269	LOC102550405
gene15270	LOC102555349
gene15271	Zfp347
gene15272	LOC102550588
gene15273	LOC366818
gene15274	LOC102550657
gene15275	Zfp709l1
gene15276	LOC100366026
gene15277	LOC100912823
gene15278	RGD1561463
gene15279	LOC102556810
gene15280	LOC100909569
gene15281	LOC102551804
gene15282	LOC100912294
gene15283	LOC100360470
gene15284	LOC100909682
gene15285	LOC100360514
gene15286	LOC100125368
gene15287	Ankrd24
gene15288	Sirt6
gene15289	LOC102551996
gene15290	Tle6
gene15291	Tle2
gene15292	Aes
gene15293	Gna11
gene15294	Gna15
gene15295	S1pr4
gene15296	Ncln
gene15297	Celf5
gene15298	LOC102552420
gene15299	Nfic
gene15300	Smim24
gene15301	LOC102552675
gene15302	Dohh
gene15303	LOC102552770
gene15304	Fzr1
gene15305	LOC690617
gene15306	Mfsd12
gene15307	Hmg20b
gene15308	LOC102552827
gene15309	Gipc3
gene15310	Tbxa2r
gene15311	Cactin
gene15312	Pip5k1c
gene15313	Tjp3
gene15314	Apba3
gene15315	Mrpl54
gene15316	Matk
gene15317	Zfr2
gene15318	Atcay
gene15319	Nmrk2
gene15320	Dapk3
gene15321	Eef2
gene15322	LOC102553232
gene15323	Pias4
gene15324	Zbtb7a
gene15325	Map2k2
gene15326	Creb3l3
gene15327	Thop1
gene15328	Sgta
gene15329	Slc39a3
gene15330	Diras1
gene15331	LOC102553301
gene15332	Gng7
gene15333	Gadd45b
gene15334	Lmnb2
gene15335	Timm13
gene15336	Tmprss9
gene15337	Sppl2b
gene15338	Lsm7
gene15339	Lingo3
gene15340	Oaz1
gene15341	Jsrp1
gene15342	Amh
gene15343	Sf3a2
gene15344	Plekhj1
gene15345	Dot1l
gene15346	Ap3d1
gene15347	Izumo4
gene15348	Mob3a
gene15349	Mknk2
gene15350	Btbd2
gene15351	Csnk1g2
gene15352	Scamp4
gene15353	Adat3
gene15354	LOC102554028
gene15355	Abhd17a
gene15356	Klf16
gene15357	Rexo1
gene15358	Atp8b3
gene15359	Onecut3
gene15360	Tcf3
gene15361	Uqcr11
gene15362	Mbd3
gene15363	Mex3d
gene15364	Plk5
gene15365	Adamtsl5
gene15366	Reep6
gene15367	Pcsk4
gene15368	RGD1359127
gene15369	Apc2
gene15370	LOC103692771
gene15371	Rps15
gene15372	Dazap1
gene15373	Gamt
gene15374	Ndufs7
gene15375	Trnan-guu
gene15376	Mum1
gene15377	LOC103692773
gene15378	Efna2
gene15379	RGD1562114
gene15380	Cirbp
gene15381	Midn
gene15382	Atp5d
gene15383	Dos
gene15384	Stk11
gene15385	Sbno2
gene15386	Gpx4
gene15387	Polr2e
gene15388	Hmha1
gene15389	Abca7
gene15390	Cnn2
gene15391	Tmem259
gene15392	Grin3b
gene15393	Wdr18
gene15394	Arid3a
gene15395	Kiss1r
gene15396	R3hdm4
gene15397	Med16
gene15398	Cfd
gene15399	Elane
gene15400	Prtn3
gene15401	Lppr3
gene15402	Ptbp1
gene15403	Misp
gene15404	Palm
gene15405	Prss57
gene15406	Fstl3
gene15407	Rnf126
gene15408	Fgf22
gene15409	Polrmt
gene15410	Hcn2
gene15411	Bsg
gene15412	Gzmm
gene15413	Cdc34
gene15414	Tpgs1
gene15415	Madcam1
gene15416	LOC102554924
gene15417	Odf3l2
gene15418	Shc2
gene15419	C2cd4c
gene15420	Theg
gene15421	Mier2
gene15422	Ppap2c
gene15423	Giot1
gene15424	LOC100910608
gene15425	Vom2r53
gene15426	LOC691170
gene15427	LOC503120
gene15428	Olr1073
gene15429	Olr1075
gene15430	Olr1076
gene15431	Olr1077
gene15432	Olr1078
gene15433	Olr1079
gene15434	Olr1080-ps
gene15435	Olr1084
gene15436	Olr1085
gene15437	Olr1086
gene15438	Slc1a6
gene15439	LOC102549402
gene15440	Ccdc105
gene15441	Casp14
gene15442	Olr1087
gene15443	LOC102555134
gene15444	Syde1
gene15445	Ilvbl
gene15446	LOC687281
gene15447	LOC314605
gene15448	LOC102555282
gene15449	Olr1088
gene15450	Olr1089-ps
gene15451	Notch3
gene15452	Ephx3
gene15453	Brd4
gene15454	Akap8
gene15455	Akap8l
gene15456	Wiz
gene15457	Rasal3
gene15458	Pglyrp2
gene15459	Cyp4f39
gene15460	LOC102555438
gene15461	LOC103692779
gene15462	Cyp4f17
gene15463	Cyp4f5
gene15464	Cyp4f37
gene15465	LOC691319
gene15466	LOC691186
gene15467	LOC102550065
gene15468	LOC100912391
gene15469	Cyp4f40
